id,user_id,plan_type,status,receipt,purchase_date,expires_at,cancelled_at,created_at,updated_at
158e1620-4660-4e3b-9b79-e385ba10caa0,c1b81d12-f874-47de-a2c9-62ae09add3ee,light_monthly,active,owned_light_monthly_1767650609582,2026-01-05 22:03:29.582+00,2026-02-05 22:03:29.582+00,,2026-01-05 21:25:12.379004+00,2026-01-05 22:03:29.781717+00
24c82d1f-e95d-4dee-ba97-dd4dd87c7e2c,828e46b7-710e-45de-8eb0-04c2dab5c6c5,gold_monthly,active,,2026-01-10 14:27:28.241+00,2026-02-10 14:27:28.241+00,,2026-01-10 14:27:28.48549+00,2026-01-10 14:27:28.242+00
ad203a91-55a1-4312-9ca9-285d3319c1f3,d1158ca3-751a-40d3-94f7-b6725eb0d971,light_monthly,active,,2026-01-05 20:56:56.923+00,2026-02-05 20:56:56.923+00,,2026-01-05 20:56:57.341629+00,2026-01-05 20:56:56.924+00
